"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","BOY","MEANSCORE","A","2018",494,
"AUT","PISAMATH","BOY","MEANSCORE","A","2018",505,
"BEL","PISAMATH","BOY","MEANSCORE","A","2018",514,
"CAN","PISAMATH","BOY","MEANSCORE","A","2018",514,
"CZE","PISAMATH","BOY","MEANSCORE","A","2018",501,
"DNK","PISAMATH","BOY","MEANSCORE","A","2018",511,
"FIN","PISAMATH","BOY","MEANSCORE","A","2018",504,
"FRA","PISAMATH","BOY","MEANSCORE","A","2018",499,
"DEU","PISAMATH","BOY","MEANSCORE","A","2018",503,
"GRC","PISAMATH","BOY","MEANSCORE","A","2018",452,
"HUN","PISAMATH","BOY","MEANSCORE","A","2018",486,
"ISL","PISAMATH","BOY","MEANSCORE","A","2018",490,
"IRL","PISAMATH","BOY","MEANSCORE","A","2018",503,
"ITA","PISAMATH","BOY","MEANSCORE","A","2018",494,
"JPN","PISAMATH","BOY","MEANSCORE","A","2018",532,
"KOR","PISAMATH","BOY","MEANSCORE","A","2018",528,
"LUX","PISAMATH","BOY","MEANSCORE","A","2018",487,
"MEX","PISAMATH","BOY","MEANSCORE","A","2018",415,
"NLD","PISAMATH","BOY","MEANSCORE","A","2018",520,
"NZL","PISAMATH","BOY","MEANSCORE","A","2018",499,
"NOR","PISAMATH","BOY","MEANSCORE","A","2018",497,
"POL","PISAMATH","BOY","MEANSCORE","A","2018",516,
"PRT","PISAMATH","BOY","MEANSCORE","A","2018",497,
"SVK","PISAMATH","BOY","MEANSCORE","A","2018",488,
"ESP","PISAMATH","BOY","MEANSCORE","A","2018",485,
"SWE","PISAMATH","BOY","MEANSCORE","A","2018",502,
"CHE","PISAMATH","BOY","MEANSCORE","A","2018",519,
"TUR","PISAMATH","BOY","MEANSCORE","A","2018",456,
"GBR","PISAMATH","BOY","MEANSCORE","A","2018",508,
"USA","PISAMATH","BOY","MEANSCORE","A","2018",482,
"BRA","PISAMATH","BOY","MEANSCORE","A","2018",388,
"CHL","PISAMATH","BOY","MEANSCORE","A","2018",421,
"EST","PISAMATH","BOY","MEANSCORE","A","2018",528,
"IDN","PISAMATH","BOY","MEANSCORE","A","2018",374,
"ISR","PISAMATH","BOY","MEANSCORE","A","2018",458,
"RUS","PISAMATH","BOY","MEANSCORE","A","2018",490,
"SVN","PISAMATH","BOY","MEANSCORE","A","2018",509,
"OAVG","PISAMATH","BOY","MEANSCORE","A","2018",492,
"LVA","PISAMATH","BOY","MEANSCORE","A","2018",500,
"COL","PISAMATH","BOY","MEANSCORE","A","2018",401,
"CRI","PISAMATH","BOY","MEANSCORE","A","2018",411,
"LTU","PISAMATH","BOY","MEANSCORE","A","2018",480,
